Prcie,Unit,Date,Type,Area,Towards,Floor,Arichi,Elevator,Year,Pro,ProR,Decorate,Community,Address,PlotR,Address2,GreenR,Domain,Park,FinishYear
135,12616,1小时前,3室2厅2卫,建面107㎡,南北向,中层(共6层),"普通住宅 | 板楼	",无电梯,2008年,满五年,70年商品房,精装修,悦明园,"长安 - 韦曲 - 
韦曲西街218号",容积率：2.80,所在地址：韦曲西街218号,绿化率：35%,所在区域：长安 - 韦曲,停车位：360,竣工时间：2018年
72,6997,43分钟前,3室2厅1卫,建面102㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,鹿苑5号公馆,"泾渭新区 - 其他 - 
上林一路,近鹿苑大道",容积率：3.00,"所在地址：上林一路,近鹿苑大道",绿化率：41%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
78,6666,43分钟前,3室2厅2卫,建面117㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2017年,唯一住房,70年商品房,毛坯,上林馨苑,"泾渭新区 - 其他 - 
上林一路,近鹿苑大道",容积率：暂无信息,"所在地址：上林一路,近鹿苑大道",绿化率：暂无信息,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
120,13336,1小时前,3室2厅1卫,建面89㎡,南向,低层(共32层),"普通住宅 | 板楼	",有电梯,2012年,满五唯一,70年商品房,毛坯,阳光城丽兹公馆,"雁塔 - 等驾坡 - 
公园南路,近南三环",容积率：3.50,"所在地址：公园南路,近南三环",绿化率：38%,所在区域：雁塔 - 等驾坡,停车位：暂无信息,竣工时间：2018年
115,13437,1小时前,2室2厅1卫,建面85㎡,南北向,中层(共6层),"普通住宅 | 板楼	",无电梯,2008年,满五年,70年商品房,精装修,悦明园,"长安 - 
韦曲西街218号",容积率：2.80,所在地址：韦曲西街218号,绿化率：35%,所在区域：长安,停车位：360,竣工时间：2018年
69,6705,52分钟前,3室2厅1卫,建面102㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,龙发天泉湾,"高陵 - 
鹿苑大道,近徐船路",容积率：暂无信息,"所在地址：鹿苑大道,近徐船路",绿化率：暂无信息,所在区域：高陵,停车位：暂无信息,竣工时间：暂无信息
115,12777,1小时前,2室2厅1卫,建面90㎡,南北向,中层(共12层),"普通住宅 | 塔楼	",有电梯,2008年,满五年,70年商品房,精装修,太阳新城,"长安 - 
太阳新街36号",容积率：暂无信息,所在地址：太阳新街36号,绿化率：40%,所在区域：长安,停车位：400,竣工时间：2018年
80,8798,今天,2室2厅1卫,建面90㎡,南北向,高层(共19层),"普通住宅 | 板楼	",有电梯,2008年,不满两年,70年商品房,精装修,大唐世家,"莲湖 - 红庙坡 - 
大兴西路30号",容积率：2.30,所在地址：大兴西路30号,绿化率：32%,所在区域：莲湖 - 红庙坡,停车位：暂无信息,竣工时间：1970年
60,6818,今天,2室2厅1卫,建面88㎡,南北向,中层(共6层),"普通住宅 | 板楼	",无电梯,2003年,满五年,70年商品房,精装修,陕一针小区,"莲湖 - 城西客运站 - 
阿房二路",容积率：2.00,所在地址：阿房二路,绿化率：30%,所在区域：莲湖 - 城西客运站,停车位：暂无信息,竣工时间：2018年
165,11458,今天,3室2厅2卫,建面144㎡,南北向,高层(共12层),"普通住宅	",有电梯,2013年,满五年,70年商品房,简单装修,紫薇城市花园,"雁塔 - 电子城 - 
电子正街18号",容积率：1.53,所在地址：电子正街18号,绿化率：44%,所在区域：雁塔 - 电子城,停车位：暂无信息,竣工时间：2018年
120,14231,今天,2室2厅1卫,建面84㎡,南北向,低层(共32层),"普通住宅 | 板塔结合	",有电梯,2012年,不满两年,70年商品房,简单装修,蔚蓝花城七色镇,"莲湖 - 丰禾路 - 
丰禾路75号",容积率：1.57,所在地址：丰禾路75号,绿化率：42%,所在区域：莲湖 - 丰禾路,停车位：暂无信息,竣工时间：2018年
115,13141,今天,2室2厅1卫,建面87㎡,南向,低层(共32层),"普通住宅 | 板塔结合	",有电梯,2012年,不满两年,70年商品房,简单装修,蔚蓝花城七色镇,"莲湖 - 丰禾路 - 
丰禾路75号",容积率：1.57,所在地址：丰禾路75号,绿化率：42%,所在区域：莲湖 - 丰禾路,停车位：暂无信息,竣工时间：2018年
110,12280,今天,2室2厅1卫,建面89㎡,南向,中层(共32层),"普通住宅 | 板塔结合	",有电梯,2012年,唯一住房,70年商品房,简单装修,浩林方里,"莲湖 - 丰禾路 - 
星火路10号",容积率：6.00,所在地址：星火路10号,绿化率：32%,所在区域：莲湖 - 丰禾路,停车位：暂无信息,竣工时间：2018年
58,9354,今天,2室1厅1卫,建面62㎡,南向,高层(共7层),"普通住宅 | 板楼	",无电梯,2005年,满两年,70年商品房,毛坯,聚馨佳苑小区,"莲湖 - 丰禾路 - 
丰禾路48号",容积率：2.30,所在地址：丰禾路48号,绿化率：32%,所在区域：莲湖 - 丰禾路,停车位：450,竣工时间：2018年
78,6724,今天,3室2厅2卫,建面116㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
115,11966,1小时前,2室2厅1卫,建面96㎡,南北向,低层(共7层),"普通住宅 | 板楼	",有电梯,2008年,满五年,70年商品房,精装修,圣合家园,"长安 - 
广场北路",容积率：2.20,所在地址：广场北路,绿化率：27%,所在区域：长安,停车位：地下车位数量：184,竣工时间：2018年
110,11956,1小时前,2室2厅1卫,建面92㎡,南北向,低层(共7层),"普通住宅 | 板楼	",无电梯,2008年,满五年,70年商品房,精装修,圣合家园,"长安 - 韦曲 - 
广场北路",容积率：2.20,所在地址：广场北路,绿化率：27%,所在区域：长安 - 韦曲,停车位：地下车位数量：184,竣工时间：2018年
216,18947,1小时前,3室2厅3卫,建面114㎡,南北向,高层(共33层),"普通住宅 | 板楼	",有电梯,2013年,满五唯一,70年商品房,精装修,曲江华著中城,"曲江新区 - 雁展路 - 
雁曲四路499号",容积率：2.70,所在地址：雁曲四路499号,绿化率：41%,所在区域：曲江新区 - 雁展路,停车位：6260,竣工时间：2018年
125,10683,1小时前,3室2厅1卫,建面117㎡,西向,中层(共12层),"普通住宅 | 塔楼	",有电梯,2008年,满五年,70年商品房,精装修,茗景城,"长安 - 其他 - 
北长安街305号",容积率：3.75,所在地址：北长安街305号,绿化率：40%,所在区域：长安 - 其他,停车位：200,竣工时间：2018年
83.6,7145,53分钟前,3室2厅2卫,建面117㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,鹿苑5号公馆,"泾渭新区 - 其他 - 
上林一路,近鹿苑大道",容积率：3.00,"所在地址：上林一路,近鹿苑大道",绿化率：41%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
98,10208,1小时前,2室2厅1卫,建面96㎡,南北向,高层(共7层),"普通住宅 | 板楼	",无电梯,2008年,满五年,70年商品房,精装修,圣合家园,"长安 - 
广场北路",容积率：2.20,所在地址：广场北路,绿化率：27%,所在区域：长安,停车位：地下车位数量：184,竣工时间：2018年
115,13855,1小时前,2室1厅1卫,建面83㎡,南北向,高层(共19层),"普通住宅 | 塔楼	",有电梯,2012年,满五年,70年商品房,精装修,盛世长安,"长安 - 郭杜 - 
郭杜北街47号",容积率：2.25,所在地址：郭杜北街47号,绿化率：40%,所在区域：长安 - 郭杜,停车位：暂无信息,竣工时间：2018年
90,9574,1小时前,2室2厅1卫,建面94㎡,南北向,中层(共7层),"普通住宅 | 板楼	",无电梯,2008年,满五年,70年商品房,精装修,吉源美郡,"长安 - 韦曲 - 
北长安街229号",容积率：0.79,所在地址：北长安街229号,绿化率：40%,所在区域：长安 - 韦曲,停车位：暂无信息,竣工时间：2018年
130,12380,1小时前,3室2厅1卫,建面105㎡,南北向,低层(共33层),"普通住宅 | 塔楼	",有电梯,2012年,满五年,70年商品房,精装修,兰乔国际城,"长安 - 
韦曲南街",容积率：暂无信息,所在地址：韦曲南街,绿化率：60%,所在区域：长安,停车位：共1350个，其中地下1200个，地上150个。,竣工时间：2018年
130,10483,1小时前,3室2厅2卫,建面124㎡,南向,高层(共20层),"普通住宅 | 塔楼	",有电梯,2008年,满五年,70年商品房,精装修,丽景花园,"长安 - 西长安街 - 
北长安街222号",容积率：暂无信息,所在地址：北长安街222号,绿化率：暂无信息,所在区域：长安 - 西长安街,停车位：暂无信息,竣工时间：2018年
108,12005,1小时前,2室2厅1卫,建面89㎡,南北向,高层(共7层),"普通住宅 | 板楼	",无电梯,2004年,满五年,70年商品房,精装修,吉源美郡,"长安 - 韦曲 - 
北长安街229号",容积率：0.79,所在地址：北长安街229号,绿化率：40%,所在区域：长安 - 韦曲,停车位：暂无信息,竣工时间：2018年
69.5,6754,53分钟前,3室2厅1卫,建面102㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
78,6610,53分钟前,3室2厅2卫,建面118㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,天正银河湾,"高陵 - 
陕汽大道1号",容积率：3.80,所在地址：陕汽大道1号,绿化率：42%,所在区域：高陵,停车位：暂无信息,竣工时间：2018年
86,7288,53分钟前,3室2厅2卫,建面118㎡,南北向,中层(共31层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,合创桂悦府,"高陵 - 
泾惠十四路,近泾园一路",容积率：2.80,"所在地址：泾惠十四路,近泾园一路",绿化率：30%,所在区域：高陵,停车位：暂无信息,竣工时间：暂无信息
83.8,7107,53分钟前,3室2厅1卫,建面117㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,鹿苑5号公馆,"泾渭新区 - 其他 - 
上林一路,近鹿苑大道",容积率：3.00,"所在地址：上林一路,近鹿苑大道",绿化率：41%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
82,6955,53分钟前,3室2厅2卫,建面117㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,鹿苑5号公馆,"泾渭新区 - 其他 - 
上林一路,近鹿苑大道",容积率：3.00,"所在地址：上林一路,近鹿苑大道",绿化率：41%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
82,7008,53分钟前,3室2厅2卫,建面117㎡,南北向,中层(共31层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,天湖名郡,"泾渭新区 - 马家湾 - 
泾渭八路,近长庆东路",容积率：2.50,"所在地址：泾渭八路,近长庆东路",绿化率：35%,所在区域：泾渭新区 - 马家湾,停车位：暂无信息,竣工时间：2018年
95.8,6997,53分钟前,4室2厅2卫,建面136㎡,南北向,高层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,龙发天泉湾,"高陵 - 
鹿苑大道,近徐船路",容积率：暂无信息,"所在地址：鹿苑大道,近徐船路",绿化率：暂无信息,所在区域：高陵,停车位：暂无信息,竣工时间：暂无信息
85,7203,53分钟前,3室2厅2卫,建面118㎡,南北向,高层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
108,12558,1小时前,2室2厅1卫,建面86㎡,东北向,中层(共25层),"普通住宅 | 塔楼	",有电梯,2012年,满五年,70年商品房,精装修,曲江澜山,"雁塔 - 其他 - 
雁塔南路航天段128号",容积率：5.00,所在地址：雁塔南路航天段128号,绿化率：38%,所在区域：雁塔 - 其他,停车位：暂无信息,竣工时间：2018年
69,6705,53分钟前,3室2厅1卫,建面102㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,汇鑫群贤北府,"泾渭新区 - 马家湾 - 
长庆东路29号",容积率：3.50,所在地址：长庆东路29号,绿化率：38%,所在区域：泾渭新区 - 马家湾,停车位：暂无信息,竣工时间：2018年
69.8,6776,53分钟前,3室2厅1卫,建面103㎡,南北向,高层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,当代上品湾MOMA,"高陵 - 
泾渭八路,近长庆东路",容积率：暂无信息,"所在地址：泾渭八路,近长庆东路",绿化率：暂无信息,所在区域：高陵,停车位：暂无信息,竣工时间：暂无信息
82,6955,53分钟前,3室2厅2卫,建面117㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
83,7033,53分钟前,3室2厅2卫,建面118㎡,南北向,高层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,鹿苑5号公馆,"泾渭新区 - 其他 - 
上林一路,近鹿苑大道",容积率：3.00,"所在地址：上林一路,近鹿苑大道",绿化率：41%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
83,7039,53分钟前,3室2厅2卫,建面117㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
82.5,6997,53分钟前,3室2厅2卫,建面117㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,汇鑫群贤北府,"泾渭新区 - 马家湾 - 
长庆东路29号",容积率：3.50,所在地址：长庆东路29号,绿化率：38%,所在区域：泾渭新区 - 马家湾,停车位：暂无信息,竣工时间：2018年
70.5,6844,53分钟前,3室2厅1卫,建面103㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,鹿苑5号公馆,"泾渭新区 - 其他 - 
上林一路,近鹿苑大道",容积率：3.00,"所在地址：上林一路,近鹿苑大道",绿化率：41%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
85,7264,53分钟前,3室2厅2卫,建面117㎡,南北向,中层(共31层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,当代上品湾MOMA,"高陵 - 
泾渭八路,近长庆东路",容积率：暂无信息,"所在地址：泾渭八路,近长庆东路",绿化率：暂无信息,所在区域：高陵,停车位：暂无信息,竣工时间：暂无信息
68,6608,53分钟前,3室2厅1卫,建面102㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,龙发天泉湾,"高陵 - 
鹿苑大道,近徐船路",容积率：暂无信息,"所在地址：鹿苑大道,近徐船路",绿化率：暂无信息,所在区域：高陵,停车位：暂无信息,竣工时间：暂无信息
82,6955,53分钟前,3室2厅2卫,建面117㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,隆基泰和万和郡,"其他 - 
沣泾大道,近经五路",容积率：3.49,"所在地址：沣泾大道,近经五路",绿化率：35%,所在区域：其他,停车位：暂无信息,竣工时间：暂无信息
70.1,6812,53分钟前,3室2厅1卫,建面102㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,乾基九境城,"未央 - 经济技术开发区 - 
鹿苑大道,近西高路",容积率：2.98,"所在地址：鹿苑大道,近西高路",绿化率：36%,所在区域：未央 - 经济技术开发区,停车位：暂无信息,竣工时间：2018年
69,6705,53分钟前,3室2厅1卫,建面102㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,鹿苑5号公馆,"泾渭新区 - 其他 - 
上林一路,近鹿苑大道",容积率：3.00,"所在地址：上林一路,近鹿苑大道",绿化率：41%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
81,6982,今天,3室2厅1卫,建面116㎡,南北向,高层(共32层),"普通住宅 | 板楼	",有电梯,2018年,满二唯一,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
110,12359,今天,2室2厅1卫,建面89㎡,东向,低层(共32层),"普通住宅 | 板楼	",有电梯,2009年,不满两年,70年商品房,精装修,晶鑫丽座,"长安 - 西长安街 - 
韦郭路288号",容积率：暂无信息,所在地址：韦郭路288号,绿化率：29%,所在区域：长安 - 西长安街,"停车位：100个, 车位配比 0.15",竣工时间：2018年
75,9493,今天,2室1厅1卫,建面79㎡,南北向,低层(共7层),"普通住宅	",无电梯,2004年,满五年,70年商品房,简单装修,鹿园小区,"新城 - 胡家庙 - 
公园北路",容积率：暂无信息,所在地址：公园北路,绿化率：暂无信息,所在区域：新城 - 胡家庙,停车位：暂无信息,竣工时间：暂无信息
108,9000,今天,3室2厅2卫,建面120㎡,南北向,中层(共7层),"普通住宅 | 板楼	",无电梯,2002年,满五年,70年商品房,简单装修,庆环小区,"莲湖 - 北院门 - 
二环南路东段76号",容积率：暂无信息,所在地址：二环南路东段76号,绿化率：21%,所在区域：莲湖 - 北院门,停车位：暂无信息,竣工时间：2018年
90,8910,今天,2室2厅1卫,建面101㎡,南北向,高层(共6层),"普通住宅 | 板楼	",无电梯,2010年,不满两年,70年商品房,精装修,晶鑫丽座,"长安 - 西长安街 - 
韦郭路288号",容积率：暂无信息,所在地址：韦郭路288号,绿化率：29%,所在区域：长安 - 西长安街,"停车位：100个, 车位配比 0.15",竣工时间：2018年
125,12626,今天,3室2厅1卫,建面99㎡,东北向,中层(共26层),"普通住宅 | 板楼	",有电梯,2008年,不满两年,70年商品房,简单装修,晶鑫丽座,"长安 - 西长安街 - 
韦郭路288号",容积率：暂无信息,所在地址：韦郭路288号,绿化率：29%,所在区域：长安 - 西长安街,"停车位：100个, 车位配比 0.15",竣工时间：2018年
95,10000,今天,2室2厅2卫,建面95㎡,东西向,中层(共18层),"普通住宅 | 板楼	",有电梯,2010年,不满两年,70年商品房,精装修,翠华小区,"雁塔 - 翠华路 - 
广场南路",容积率：2.50,所在地址：广场南路,绿化率：19%,所在区域：雁塔 - 翠华路,停车位：暂无信息,竣工时间：2018年
260,20291,今天,3室2厅2卫,建面128㎡,南向,中层(共34层),"普通住宅 | 板楼	",有电梯,2012年,满五唯一,70年商品房,精装修,曲江华著中城,"曲江新区 - 雁展路 - 
雁曲四路499号",容积率：2.70,所在地址：雁曲四路499号,绿化率：41%,所在区域：曲江新区 - 雁展路,停车位：6260,竣工时间：2018年
205,16975,1天前,3室2厅2卫,建面120㎡,南北向,低层(共33层),"普通住宅	",有电梯,2013年,满五唯一,70年商品房,毛坯,世茂都,"未央 - 张家堡 - 
凤城十路",容积率：4.30,所在地址：凤城十路,绿化率：35%,所在区域：未央 - 张家堡,停车位：暂无信息,竣工时间：2018年
33,5238,16小时前,1室1厅1卫,建面63㎡,南北向,高层(共7层),"普通住宅 | 板楼	",无电梯,2013年,满二唯一,70年,简单装修,美美佳园,"未央 - 三桥 - 
三桥正街",容积率：暂无信息,所在地址：三桥正街,绿化率：35%,所在区域：未央 - 三桥,停车位：暂无信息,竣工时间：暂无信息
195,16054,1天前,3室2厅2卫,建面121㎡,南北向,低层(共38层),"普通住宅	",有电梯,2016年,满五唯一,70年商品房,精装修,世茂都,"未央 - 张家堡 - 
凤城十路",容积率：4.30,所在地址：凤城十路,绿化率：35%,所在区域：未央 - 张家堡,停车位：暂无信息,竣工时间：2018年
69,6705,53分钟前,3室2厅1卫,建面102㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,鹿苑5号公馆,"泾渭新区 - 其他 - 
上林一路,近鹿苑大道",容积率：3.00,"所在地址：上林一路,近鹿苑大道",绿化率：41%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
80,6785,53分钟前,3室2厅2卫,建面117㎡,南北向,低层(共31层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
69.8,6783,53分钟前,3室2厅1卫,建面102㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,乾基九境城,"未央 - 经济技术开发区 - 
鹿苑大道,近西高路",容积率：2.98,"所在地址：鹿苑大道,近西高路",绿化率：36%,所在区域：未央 - 经济技术开发区,停车位：暂无信息,竣工时间：2018年
82.8,7022,53分钟前,3室2厅2卫,建面117㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,鹿苑5号公馆,"泾渭新区 - 其他 - 
上林一路,近鹿苑大道",容积率：3.00,"所在地址：上林一路,近鹿苑大道",绿化率：41%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
69,6705,53分钟前,3室2厅1卫,建面102㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,龙发天泉湾,"高陵 - 
鹿苑大道,近徐船路",容积率：暂无信息,"所在地址：鹿苑大道,近徐船路",绿化率：暂无信息,所在区域：高陵,停车位：暂无信息,竣工时间：暂无信息
70,6796,44分钟前,3室2厅1卫,建面103㎡,南北向,低层(共32层),"普通住宅 | 板楼	",有电梯,2017年,唯一住房,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
55,5978,1小时前,2室2厅1卫,建面92㎡,南北向,高层(共7层),"普通住宅 | 板楼	",无电梯,2008年,满五年,70年商品房,精装修,书香门邸,"长安 - 
河堤路23号",容积率：1.50,所在地址：河堤路23号,绿化率：50%,所在区域：长安,停车位：有停车位,竣工时间：2018年
82,6949,53分钟前,3室2厅2卫,建面118㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,鹿苑5号公馆,"泾渭新区 - 其他 - 
上林一路,近鹿苑大道",容积率：3.00,"所在地址：上林一路,近鹿苑大道",绿化率：41%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
69,6705,53分钟前,3室2厅1卫,建面102㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,当代上品湾MOMA,"高陵 - 
泾渭八路,近长庆东路",容积率：暂无信息,"所在地址：泾渭八路,近长庆东路",绿化率：暂无信息,所在区域：高陵,停车位：暂无信息,竣工时间：暂无信息
69,6705,54分钟前,3室2厅1卫,建面102㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,天正银河湾,"高陵 - 
陕汽大道1号",容积率：3.80,所在地址：陕汽大道1号,绿化率：42%,所在区域：高陵,停车位：暂无信息,竣工时间：2018年
80,6779,44分钟前,3室2厅2卫,建面118㎡,南北向,低层(共32层),"普通住宅 | 板楼	",有电梯,2017年,唯一住房,70年商品房,毛坯,乾基九境城,"未央 - 经济技术开发区 - 
鹿苑大道,近西高路",容积率：2.98,"所在地址：鹿苑大道,近西高路",绿化率：36%,所在区域：未央 - 经济技术开发区,停车位：暂无信息,竣工时间：2018年
78,6610,53分钟前,3室2厅2卫,建面118㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
75,6521,2小时前,3室2厅1卫,建面115㎡,南北向,低层(共33层),"普通住宅 | 板楼	",有电梯,2018年,不满两年,70年商品房,毛坯,隆基泰和万和郡,"其他 - 
沣泾大道,近经五路",容积率：3.49,"所在地址：沣泾大道,近经五路",绿化率：35%,所在区域：其他,停车位：暂无信息,竣工时间：暂无信息
84,7118,53分钟前,3室2厅2卫,建面118㎡,南北向,暂无信息,"普通住宅	",有电梯,2016年,不满两年,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
71,7029,2小时前,3室2厅2卫,建面101㎡,南北向,低层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
69,6705,53分钟前,3室2厅1卫,建面102㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,水半湾,"泾渭新区 - 马家湾 - 
泾渭八路,近长庆东路",容积率：3.50,"所在地址：泾渭八路,近长庆东路",绿化率：37%,所在区域：泾渭新区 - 马家湾,停车位：暂无信息,竣工时间：2018年
72,6997,53分钟前,3室2厅1卫,建面102㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,天湖名郡,"泾渭新区 - 马家湾 - 
泾渭八路,近长庆东路",容积率：2.50,"所在地址：泾渭八路,近长庆东路",绿化率：35%,所在区域：泾渭新区 - 马家湾,停车位：暂无信息,竣工时间：2018年
50,7692,1天前,2室1厅1卫,建面65㎡,南向,高层(共7层),"普通住宅 | 板楼	",无电梯,2006年,满五年,70年商品房,简单装修,万寿铁路小区,"新城 - 胡家庙 - 
华清东路",容积率：1.60,所在地址：华清东路,绿化率：20%,所在区域：新城 - 胡家庙,停车位：暂无信息,竣工时间：2018年
70,6930,20小时前,3室2厅1卫,建面101㎡,南北向,低层(共32层),"普通住宅 | 板楼	",有电梯,2017年,满二唯一,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
86,8889,1天前,2室1厅1卫,建面96㎡,南向,高层(共32层),"普通住宅	",有电梯,2017年,满五年,70年商品房,毛坯,红星美凯城,暂无信息,容积率：3.36,"所在地址：浐灞一路,近北辰路",绿化率：30%,所在区域：,停车位：共1350个,竣工时间：2018年
20,6666,1天前,1室1厅1卫,建面30㎡,南向,中层(共6层),"公寓	",无电梯,2002年,满五年,70年商品房,简单装修,雅荷度假山庄(公寓),"未央 - 其他 - 
湖滨路",容积率：0.90,所在地址：湖滨路,绿化率：55%,所在区域：未央 - 其他,停车位：800个车位,竣工时间：2018年
