Prcie,Unit,Date,Type,Area,Towards,Floor,Arichi,Elevator,Year,Pro,ProR,Decorate,Community,Address,PlotR,Address2,GreenR,Domain,Park,FinishYear
73,7087,2天前,3室2厅1卫,建面103㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,乾基九境城,"未央 - 经济技术开发区 - 
鹿苑大道,近西高路",容积率：2.98,"所在地址：鹿苑大道,近西高路",绿化率：36%,所在区域：未央 - 经济技术开发区,停车位：暂无信息,竣工时间：2018年
74,7254,2天前,3室2厅1卫,建面102㎡,南北向,中层(共31层),"普通住宅	",有电梯,2018年,满二唯一,70年商品房,毛坯,逸景佲居,"高陵 - 
长庆西路32号",容积率：3.50,所在地址：长庆西路32号,绿化率：40%,所在区域：高陵,停车位：暂无信息,竣工时间：2018年
84,7118,48分钟前,3室2厅2卫,建面118㎡,南北向,暂无信息,"普通住宅	",有电梯,2016年,不满两年,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
70,5982,2天前,3室2厅2卫,建面117㎡,南北向,高层(共31层),"普通住宅 | 板楼	",有电梯,2016年,满二唯一,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
79,6076,2天前,3室2厅2卫,建面130㎡,南北向,中层(共28层),"普通住宅	",有电梯,2015年,满五年,70年商品房,毛坯,汇鑫群贤北府,"泾渭新区 - 马家湾 - 
长庆东路29号",容积率：3.50,所在地址：长庆东路29号,绿化率：38%,所在区域：泾渭新区 - 马家湾,停车位：暂无信息,竣工时间：2018年
80,7774,2天前,3室2厅1卫,建面102㎡,南北向,中层(共31层),"普通住宅	",有电梯,2017年,满两年,70年商品房,毛坯,乾基九境城,"未央 - 经济技术开发区 - 
鹿苑大道,近西高路",容积率：2.98,"所在地址：鹿苑大道,近西高路",绿化率：36%,所在区域：未央 - 经济技术开发区,停车位：暂无信息,竣工时间：2018年
63,6631,2天前,2室2厅1卫,建面95㎡,南向,中层(共26层),"普通住宅	",有电梯,2013年,满二唯一,70年商品房,毛坯,泉顺北岸生活,"高陵 - 
泾渭四路",容积率：2.35,所在地址：泾渭四路,绿化率：42%,所在区域：高陵,停车位：暂无信息,竣工时间：2018年
65,6372,2天前,3室2厅1卫,建面102㎡,南北向,中层(共31层),"普通住宅 | 板楼	",有电梯,2017年,满二唯一,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
70,7142,2天前,3室2厅1卫,建面98㎡,南北向,中层(共34层),"普通住宅	",有电梯,2015年,满二唯一,70年商品房,毛坯,水半湾,"泾渭新区 - 马家湾 - 
泾渭八路,近长庆东路",容积率：3.50,"所在地址：泾渭八路,近长庆东路",绿化率：37%,所在区域：泾渭新区 - 马家湾,停车位：暂无信息,竣工时间：2018年
69,6831,2天前,3室2厅1卫,建面101㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2017年,满二唯一,70年商品房,毛坯,乾基九境城,"未央 - 经济技术开发区 - 
鹿苑大道,近西高路",容积率：2.98,"所在地址：鹿苑大道,近西高路",绿化率：36%,所在区域：未央 - 经济技术开发区,停车位：暂无信息,竣工时间：2018年
68,6601,2小时前,3室2厅2卫,建面103㎡,南北向,中层(共33层),"普通住宅 | 板楼	",有电梯,2018年,不满两年,70年商品房,毛坯,隆基泰和万和郡,"其他 - 
沣泾大道,近经五路",容积率：3.49,"所在地址：沣泾大道,近经五路",绿化率：35%,所在区域：其他,停车位：暂无信息,竣工时间：暂无信息
90,7692,2天前,3室2厅2卫,建面117㎡,南北向,低层(共33层),"普通住宅	",有电梯,2015年,满五年,70年商品房,毛坯,当代上品湾MOMA,"高陵 - 
泾渭八路,近长庆东路",容积率：暂无信息,"所在地址：泾渭八路,近长庆东路",绿化率：暂无信息,所在区域：高陵,停车位：暂无信息,竣工时间：暂无信息
